legacy_id,year,authors_short,title,venue,legacy_doi_or_identifier,preliminary_scope_status,new_survey_signal,verification_required,verification_notes,seed_classification_v1_0,adjacent_subtype,G_criterion_seed,S_criterion_seed,sparse_concept_lens,RQ_support_seed,classification_confidence,fulltext_verification_required,metadata_verification_required,decision_note,verification_source_url
KT016,2020,Tong et al.,Structure-Based Knowledge Tracing: An Influence Propagation View,ICDM,10.1109/ICDM50108.2020.00063,POTENTIAL_CORE,GRAPH_KT,YES,Structure/influence propagation candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",MEDIUM,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT017,2022,Minn,AI-Assisted Knowledge Assessment Techniques for Adaptive Learning Environments,Computers & Education: Artificial Intelligence,10.1016/j.caeai.2022.100050,SCREEN_FULL_TEXT,BACKGROUND_REVIEW,YES,Check whether KT method evidence is primary enough for new scope.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT018,2022,Song et al.,A Survey on Deep Learning Based Knowledge Tracing,Knowledge-Based Systems,10.1016/j.knosys.2022.110036,BACKGROUND,PRIOR_SURVEY,YES,Prior deep-KT survey.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: prior survey used for positioning, taxonomy comparison, and snowballing.",
KT019,2020,Pandey & Srivastava,RKT: Relation-Aware Self-Attention for Knowledge Tracing,CIKM,10.1145/3340531.3411994,SCREEN_FULL_TEXT,GRAPH_ADJACENT,YES,Relation-aware method; verify whether relation representation meets explicit graph criterion.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,HIGH,YES,YES,"BACKGROUND. Relation-aware self-attention uses exercise-relation/context signals, but the reviewed abstract does not establish an explicit graph/hypergraph mechanism under the frozen G-criterion.",https://doi.org/10.1145/3340531.3411994
KT020,2020,Shen et al.,Convolutional Knowledge Tracing: Modeling Individualization in Student Learning Process,SIGIR,10.1145/3397271.3401288,BACKGROUND,BASELINE,YES,General KT architecture.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT021,2016,Khajah et al.,How Deep Is Knowledge Tracing?,EDM,10.48550/arXiv.1604.02416,BACKGROUND,BASELINE,YES,Methodological KT background; verify peer-reviewed metadata.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT022,2020,Gervet et al.,When Is Deep Learning the Best Approach to Knowledge Tracing?,Journal of Educational Data Mining,10.5281/zenodo.4143614,BACKGROUND,EVALUATION_FOUNDATION,YES,Benchmark/evaluation background; verify canonical article identifier.,PRIMARY_ADJACENT,EVALUATION_METHOD,NO,NO,NO_EXPLICIT_FOCUS,RQ5,MEDIUM,YES,YES,PRIMARY_ADJACENT (EVALUATION_METHOD): useful for RQ4/RQ5 context but does not currently satisfy the primary Graph/SSL gateway.,
KT023,2022,Wu et al.,SGKT: Session Graph-Based Knowledge Tracing for Student Performance Prediction,Expert Systems with Applications,10.1016/j.eswa.2022.117681,POTENTIAL_CORE,GRAPH_KT,YES,Session-graph KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT024,2020,Wu et al.,Exercise Recommendation Based on Knowledge Concept Prediction,Knowledge-Based Systems,10.1016/j.knosys.2020.106481,BACKGROUND,DOWNSTREAM_BACKGROUND,YES,Recommendation-oriented; retain only if useful as downstream context.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: downstream recommendation/path context, not a primary Graph/SSL survey paper.",
KT025,2019,Lee et al.,Knowledge Query Network for Knowledge Tracing: How Knowledge Interacts with Skills,LAK,10.1145/3303772.3303786,BACKGROUND,BASELINE,YES,General KT/background.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT026,2020,Liu et al.,Improving Knowledge Tracing via Pre-Training Question Embeddings,IJCAI,10.24963/ijcai.2020/219,SCREEN_FULL_TEXT,SSL_ADJACENT,YES,Pretraining candidate; verify whether objective meets new SSL definition.,PRIMARY_CORE,,YES,NO,YES,"RQ1,RQ2,RQ4,RQ5",HIGH,YES,YES,PRIMARY_CORE. Full text explicitly formulates question-skill relations as a bipartite graph and learns graph-derived question embeddings for KT.,https://www.ijcai.org/proceedings/2020/0219.pdf
KT027,2024,Huang et al.,XKT: Toward Explainable Knowledge Tracing Model With Cognitive Learning Theories for Questions of Multiple Knowledge Concepts,IEEE TKDE,10.1109/TKDE.2024.3418098,SCREEN_FULL_TEXT,GRAPH_ADJACENT,YES,Multi-KC structure may be relevant; verify explicit graph use.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT028,2019,Ai et al.,Concept-Aware Deep Knowledge Tracing and Exercise Recommendation in an Online Learning System,EDM,TBD_VERIFY,BACKGROUND,DOWNSTREAM_BACKGROUND,YES,KT + recommendation; likely background unless graph/SSL criterion met.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: downstream recommendation/path context, not a primary Graph/SSL survey paper.",
KT029,2024,Cui et al.,DGEKT: A Dual Graph Ensemble Learning Method for Knowledge Tracing,ACM Transactions on Information Systems,10.1145/3638350,POTENTIAL_CORE,GRAPH_KT,YES,Dual-graph ensemble candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT030,2019,Wang et al.,Deep Hierarchical Knowledge Tracing,EDM,TBD_VERIFY,SCREEN_FULL_TEXT,STRUCTURE_ADJACENT,YES,Verify whether hierarchy is explicit graph structure or sequence hierarchy.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,HIGH,YES,YES,BACKGROUND. The hierarchical relation is modeled with a hinge loss over concept/item embeddings; this does not by itself satisfy the frozen explicit Graph-KT criterion.,https://pure.psu.edu/en/publications/deep-hierarchical-knowledge-tracing/
KT031,2022,Gan et al.,Knowledge Structure Enhanced Graph Representation Learning Model for Attentive Knowledge Tracing,International Journal of Intelligent Systems,10.1002/int.22763,POTENTIAL_CORE,GRAPH_KT,YES,Explicit knowledge-structure graph representation.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT032,2021,Zhang et al.,Multi-Factors Aware Dual-Attentional Knowledge Tracing,CIKM,10.1145/3459637.3482372,BACKGROUND,BASELINE,YES,General attentive KT unless explicit graph criterion emerges.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT033,2023,Abdelrahman et al.,Deep Graph Memory Networks for Forgetting-Robust Knowledge Tracing,IEEE TKDE,10.1109/TKDE.2022.3206447,POTENTIAL_CORE,GRAPH_KT,YES,Graph memory / forgetting robust KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT034,2019,Wang et al.,Deep Knowledge Tracing with Side Information,AIED,10.1007/978-3-030-23207-8_56,BACKGROUND,BASELINE,YES,Side-information KT.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT035,2023,Ni et al.,HHSKT: A Learner–Question Interactions Based Heterogeneous Graph Neural Network Model for Knowledge Tracing,Expert Systems with Applications,10.1016/j.eswa.2022.119334,POTENTIAL_CORE,GRAPH_KT,YES,Heterogeneous Graph-KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT036,2024,Yang et al.,Heterogeneous Graph-Based Knowledge Tracing with Spatiotemporal Evolution,Expert Systems with Applications,10.1016/j.eswa.2023.122249,POTENTIAL_CORE,GRAPH_KT,YES,Heterogeneous + spatiotemporal Graph-KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT037,2022,Lu et al.,CMKT: Concept Map Driven Knowledge Tracing,IEEE Transactions on Learning Technologies,10.1109/TLT.2022.3196355,POTENTIAL_CORE,GRAPH_KT,YES,Expert/curriculum concept-map KT.,PRIMARY_CORE,,YES,NO,YES,"RQ1,RQ2,RQ4,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT038,2024,Nie/Cheng et al.,DyGKT: Dynamic Graph Learning for Knowledge Tracing,KDD,TBD_VERIFY_CONFLICT,POTENTIAL_CORE,GRAPH_KT,YES,Legacy sources conflict on authors/DOI (reported variants include 10.1145/3637528.3671823 and 10.1145/3637528.3671773); verify publisher record.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT039,2022,Lee et al.,Contrastive Learning for Knowledge Tracing,The Web Conference,10.1145/3485447.3512105,POTENTIAL_CORE,SSL_KT,YES,Core contrastive KT candidate.,PRIMARY_CORE,,NO,YES,NO_EXPLICIT_FOCUS,"RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT040,2023,Yin et al.,Tracing Knowledge Instead of Patterns: Stable Knowledge Tracing with Diagnostic Transformer,The Web Conference,10.1145/3543507.3583255,BACKGROUND,BASELINE,YES,Stable KT background; inspect if needed for robustness taxonomy.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT041,2023,Huang et al.,Towards Robust Knowledge Tracing Models via k-Sparse Attention,SIGIR,10.1145/3539618.3592073,BACKGROUND,SPARSE_TERM_AMBIGUITY,YES,Sparse refers to attention architecture; do not classify as sparse-KC evidence unless full text separately evaluates low-frequency KCs.,BACKGROUND,,NO,NO,TERM_AMBIGUITY_ONLY,,MEDIUM,YES,YES,BACKGROUND. 'Sparse' refers to k-sparse attention architecture; do not treat as sparse-KC evidence unless a separate low-frequency-KC analysis is verified.,
KT042,2023,Wu et al.,Self-Supervised Heterogeneous Hypergraph Network for Knowledge Tracing,Information Sciences,10.1016/j.ins.2022.12.075,POTENTIAL_CORE,GRAPH_SSL_KT,YES,Direct hypergraph + self-supervised KT.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion and satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT043,2024,Sun et al.,Weighted Heterogeneous Graph-Based Three-View Contrastive Learning for Knowledge Tracing,IEEE Transactions on Consumer Electronics,10.1109/TCE.2023.3293953,POTENTIAL_CORE,GRAPH_SSL_KT,YES,Heterogeneous graph + multi-view contrastive KT.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion and satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT044,2024,Fu et al.,SINKT: A Structure-Aware Inductive Knowledge Tracing Model with Large Language Model,CIKM,10.1145/3627673.3679760,POTENTIAL_CORE,GRAPH_SPARSE_KT,YES,Inductive/semantic structure candidate; verify exact sparse/cold-start unit.,PRIMARY_CORE,,YES,NO,YES,"RQ1,RQ2,RQ4,RQ5",HIGH,YES,YES,PRIMARY_CORE. SINKT explicitly constructs a heterogeneous graph of concepts and questions and evaluates inductive/cold-start behavior.,https://doi.org/10.1145/3627673.3679760
KT045,2019,Ding et al.,Why Deep Knowledge Tracing Has Less Depth Than Anticipated,EDM,TBD_VERIFY,BACKGROUND,EVALUATION_FOUNDATION,YES,Diagnostic background.,PRIMARY_ADJACENT,EVALUATION_METHOD,NO,NO,NO_EXPLICIT_FOCUS,RQ5,MEDIUM,YES,YES,PRIMARY_ADJACENT (EVALUATION_METHOD): useful for RQ4/RQ5 context but does not currently satisfy the primary Graph/SSL gateway.,
KT046,2020,Zhao et al.,Cold Start Knowledge Tracing with Attentive Neural Turing Machine,ACM L@S,10.1145/3386527.3406741,SCREEN_FULL_TEXT,SPARSE_KT,YES,Cold-start paper; verify whether learner/item/KC cold-start.,PRIMARY_ADJACENT,SPARSE_COLDSTART,NO,NO,YES,"RQ4,RQ5",MEDIUM,YES,YES,PRIMARY_ADJACENT (SPARSE_COLDSTART): useful for RQ4/RQ5 context but does not currently satisfy the primary Graph/SSL gateway.,
KT047,2023,Wu et al.,Fusing Hybrid Attentive Network with Self-Supervised Dual-Channel Heterogeneous Graph for Knowledge Tracing,Expert Systems with Applications,10.1016/j.eswa.2023.120212,POTENTIAL_CORE,GRAPH_SSL_KT,YES,Direct graph + SSL KT candidate.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion and satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT048,2024,Yu et al.,RIGL: A Unified Reciprocal Approach for Tracing the Independent and Group Learning,KDD,10.1145/3637528.3671711,BACKGROUND,KT_ADJACENT,YES,General KT; verify relevance if structural group relation is central.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT049,2024,Guo et al.,Mitigating Cold-Start Problems in Knowledge Tracing with Large Language Models,CIKM,10.1145/3627673.3679664,POTENTIAL_CORE,SPARSE_KT,YES,Cold-start + semantic/LLM evidence; exact cold-start construct must be coded.,PRIMARY_ADJACENT,SPARSE_COLDSTART,NO,NO,YES,"RQ4,RQ5",MEDIUM,YES,YES,PRIMARY_ADJACENT (SPARSE_COLDSTART): useful for RQ4/RQ5 context but does not currently satisfy the primary Graph/SSL gateway.,
KT050,2023,Wang et al.,GraphCA: Learning from Graph Counterfactual Augmentation for Knowledge Tracing,IEEE/CAA Journal of Automatica Sinica,10.1109/JAS.2023.123678,POTENTIAL_CORE,GRAPH_SSL_ADJACENT,YES,Graph augmentation relevant to SSL/robustness; DOI appears legacy-coded and should be verified.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT051,2025,Zhang et al.,Data Augmentation for Sparse Multidimensional Learning Performance Data Using Generative AI,IEEE Transactions on Learning Technologies,10.1109/TLT.2025.3526582,SCREEN_FULL_TEXT,SPARSE_ADJACENT,YES,Verify whether task is KT and whether sparse unit is concept-level.,PRIMARY_ADJACENT,SPARSE_DATA_AUGMENTATION,NO,NO,YES,"RQ4,RQ5",HIGH,YES,YES,"PRIMARY_ADJACENT. It addresses sparse learning-performance/KT data using generative augmentation, but it is not currently coded as Graph-KT or SSL-KT under the frozen operational definitions.",https://doi.org/10.1109/TLT.2025.3526582
KT052,2022,He et al.,Modeling Knowledge Proficiency Using Multi-Hierarchical Capsule Graph Neural Network,Applied Intelligence,10.1007/s10489-021-02765-w,POTENTIAL_CORE,GRAPH_KT,YES,Hierarchical graph neural KT candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT053,2021,Wang et al.,GASKT: A Graph-Based Attentive Knowledge-Search Model for Knowledge Tracing,AIED,10.1007/978-3-030-82136-4_22,POTENTIAL_CORE,GRAPH_KT,YES,Graph-based attentive KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT054,2022,Long et al.,Interpretable Knowledge Tracing: Simple and Efficient Student Modeling with Causal Relations,AAAI,10.1609/aaai.v36i11.21560,SCREEN_FULL_TEXT,GRAPH_ADJACENT,YES,Causal relations may satisfy structural criterion; verify representation.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,HIGH,YES,YES,BACKGROUND. Interpretable KT uses meaningful latent features and a Tree-Augmented Naive Bayes classifier; it is useful interpretability context but not primary Graph/SSL evidence.,https://cdn.aaai.org/ojs/21560/21560-13-25573-1-2-20220628.pdf
KT055,2021,Ma et al.,GKT-CD: Make Cognitive Diagnosis Model Enhanced by Graph-Based Knowledge Tracing,IJCNN,10.1109/IJCNN52387.2021.9533298,SCREEN_FULL_TEXT,GRAPH_ADJACENT,YES,Boundary with cognitive diagnosis; include only if sequential KT evidence is central.,EXCLUDE,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,EXCLUDE. The title/metadata position cognitive diagnosis as the central task and Graph-Based KT as an enhancer; full text should be checked once before permanent removal.,https://doi.org/10.1109/IJCNN52387.2021.9533298
KT056,2025,Yu et al.,Exploring Long- and Short-Term Knowledge State Graph Representations with Adaptive Temporal Dynamics for Knowledge Tracing,Information Processing & Management,10.1016/j.ipm.2025.104074,POTENTIAL_CORE,GRAPH_KT,YES,Dynamic graph-state KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT057,2025,Scarlatos et al.,Exploring Knowledge Tracing in Tutor-Student Dialogues Using LLMs,LAK,10.1145/3706468.3706501,BACKGROUND,LLM_KT_BACKGROUND,YES,LLM KT context; no automatic graph/SSL/sparse signal.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT058,2025,Sun et al.,Harnessing Code Domain Insights: Enhancing Programming Knowledge Tracing with Code Features,Knowledge-Based Systems,10.1016/j.knosys.2025.113396,BACKGROUND,KT_ADJACENT,YES,Programming KT; inspect only if code graph/SSL becomes relevant.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT059,2025,Li et al.,Dual-View Multi-Scale Cognitive Representation for Deep Knowledge Tracing,Knowledge-Based Systems,10.1016/j.knosys.2025.113010,SCREEN_FULL_TEXT,SSL_ADJACENT,YES,Dual-view method; verify whether self-supervised objective exists.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
KT060,2025,Li et al.,STHKT: Spatiotemporal Knowledge Tracing with Topological Hawkes Process,Expert Systems with Applications,10.1016/j.eswa.2024.125248,POTENTIAL_CORE,GRAPH_KT,YES,Topological/spatiotemporal structural KT.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE. STHKT uses topological Hawkes processes together with graph neural networks.,https://doi.org/10.1016/j.eswa.2024.125248
KT061,2025,Zhou et al.,Disentangled Knowledge Tracing for Alleviating Cognitive Bias,The Web Conference,10.1145/3696410.3714607,BACKGROUND,KT_ADJACENT,YES,No explicit graph/SSL signal in legacy coding.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: useful KT/context paper, but the seed evidence does not currently satisfy the frozen Graph-Based or Self-Supervised gateway.",
